Judul,Jenjang,Biaya Registrasi,Tipe (Online/Offline),Tanggal Pelaksanaan,Penyelenggara,Tema/Kategori,Link Poster
Pi-Spektra,SD / Sederajat,Gratis,Online,3 - 16 Mar 2025,SMP Daarut Tauhiid Boarding School Putri,"Musik, Agama, English",https://infolomba.id/images/event/poster/pispektra-87.jpeg
Medical Veteran Project 2025,Mahasiswa,Rp 80.000,Online & Offline,17 Agu - 6 Sep 2025,BEM FK UPN “Veteran” Jakarta,"Desain, Olahraga, Seni",https://infolomba.id/images/event/poster/medical-veteran-project-2025-80.jpeg
Mujahidin Excellent Fest 2026,"SD / Sederajat, SMP / Sederajat",Rp 45.000,Offline,5 - 22 Feb 2026,SMP Mujahidin Surabaya,"Olimpiade, Agama",https://infolomba.id/images/event/poster/mujahidin-excellent-fest-2026-61.jpeg
Lomba Mural Tadjimalela,"SMA / Sederajat, Gapyear, Mahasiswa, Umum",Rp 100.000,Offline,1 - 25 Jan 2026,Mural Tadjimalela,"Desain, Seni, ~Lainnya",https://infolomba.id/images/event/poster/lomba-mural-tadjimalela-81.jpeg
Lomba Video Mengulas Buku!✨📚,"SMP / Sederajat, SMA / Sederajat, Gapyear, Mahasiswa, Umum",Gratis,Online,11 Agu - 8 Sep 2025,Yayasan Gelora Insan Mandiri,"~Lainnya, Videografi/Film, Challenge",https://infolomba.id/images/event/poster/lomba-video-mengulas-buku✨📚-43.jpeg
FusionTech Challenge 2025,SMA / Sederajat,Rp 15.000,Online & Offline,12 - 26 Feb 2025,Universitas Teknologi Yogyakarta,"Desain, IT, Challenge",https://infolomba.id/images/event/poster/fusiontech-challenge-2025-89.png
Olimpiade Manajemen UNAIR 2025,SMA / Sederajat,Rp 90.000,Online & Offline,31 Agu - 10 Sep 2025,Manajemen UNAIR,Olimpiade,https://infolomba.id/images/event/poster/olimpiade-manajemen-unair-2025-80.png
Lomba MC Nasional,"SMA / Sederajat, Gapyear, Mahasiswa, Umum",Rp 35.000,Online,20 Des 2025 - 20 Jan 2026,OSIS BASWARA Al Munawwir IIBS,MC/Protocol,https://infolomba.id/images/event/poster/lomba-mc-nasional-43.png
ALKAFEST 2025,"SMP / Sederajat, SMA / Sederajat, Gapyear, Mahasiswa, Umum",Rp 75.000,Offline,12 Jun - 12 Agu 2025,SMA Al-Azhar Kelapa Gading,"Musik, Olahraga, Seni",https://infolomba.id/images/event/poster/alkafest-90.jpeg
Pharmasteria 2025,SMA / Sederajat,Rp 35.000,Online & Offline,26 Apr - 17 Mei 2025,Himafarsi Universitas Gunadarma,"Desain, Videografi/Film, Esai",https://infolomba.id/images/event/poster/pharmasteria-2025-46.jpeg
The 8th ISCOMBUS,Mahasiswa,Rp 50.000,Online,3 - 30 Apr 2025,Himpunan Mahasiswa Manajemen FEB UMY,"Bisnis, English",https://infolomba.id/images/event/poster/the-8th-iscombus--90.jpeg
"BHK Cup ""Valore""",SMP / Sederajat,Rp 200.000,Offline,19 Mei - 9 Agu 2025,SMA Bunda Hati Kudus Jakarta,"Olahraga, Seni",https://infolomba.id/images/event/poster/bhk-cup-valore-13.png
Call for Essay 2025,"Mahasiswa, Umum",Gratis,Online,20 Okt - 20 Des 2025,BSO Literatika FH UNESA,"Esai, Hukum",https://infolomba.id/images/event/poster/call-for-essay-76.png
HIMABI COMPETITIONS 2025,Mahasiswa,Rp 15.000 - Rp 20.000,Online,21 Des 2025 - 1 Jan 2026,HIMABI Universitas Alma Ata,"Desain, Videografi/Film, Poster",https://infolomba.id/images/event/poster/himabi-competitions-2025-78.jpeg
Pekan Kimia,Mahasiswa,Rp 40.000 - Rp 50.000,Online,26 Nov 2024 - 31 Jan 2025,Himdika FKIP Untan,Desain,https://infolomba.id/images/event/poster/pekan-kimia-60.jpeg
EUFOGHIA 2025,"SD / Sederajat, SMP / Sederajat, SMA / Sederajat, Umum, TK",Rp 15.000,Online & Offline,21 Agu - 15 Sep 2025,SMA Pesantren Unggul Al Bayan Anyer,"Desain, Musik, Olahraga",https://infolomba.id/images/event/poster/eufoghia-2025-74.png
Vacoos6th,SMA / Sederajat,Rp 140.000 - Rp 155.000,Online & Offline,25 Des 2024 - 8 Feb 2025,MPK-OSIS SMA NEGERI 1 CERME,Musik,https://infolomba.id/images/event/poster/vacoos6th-62.jpeg
Olimpiade Manajemen Universitas Airlangga 2025,SMA / Sederajat,Rp 90.000,Online & Offline,23 - 31 Agu 2025,Management UNAIR,Olimpiade,https://infolomba.id/images/event/poster/olimpiade-manajemen-universitas-airlangga-2025-86.jpeg
Writing Competition 2026: LKTI BEM Universi Lamongan,SMA / Sederajat,Rp 150.000,Online,20 Des 2025 - 20 Jan 2026,Bem Universitas Muhammadiyah Lamongan,Karya Tulis Ilmiah,https://infolomba.id/images/event/poster/writing-competition-2026-lomba-karya-tulis-ilmiah-lkti-bem-universitas-muhammadiyah-lamongan-45.jpeg
Kelas Intensif SNBT 2025 by MauNgajarin,"SMA / Sederajat, Gapyear, Mahasiswa",Rp 19.000 - Rp 45.000,Online,31 Des 2024 - 12 Jan 2025,MauNgajarin,~Lainnya,https://infolomba.id/images/event/poster/kelas-intensif-snbt-2025-by-maungajarin-28.png
HelloCup Vol.7,"SMP / Sederajat, SMA / Sederajat",Rp 150.000,Online & Offline,19 Sep - 5 Okt 2025,HelloMotion High School,"Musik, Olahraga, Seni",https://infolomba.id/images/event/poster/hellocup-vol7-78.jpeg
Paud Fair 13 se-Indonesia,"Mahasiswa, Umum, Guru",Rp 40.000 - Rp 50.000,Online & Offline,5 Jan - 30 Mar 2025,PAUD Fair 13 se-Indonesia,"Olimpiade, Desain, Olahraga",https://infolomba.id/images/event/poster/paud-fair-13-seindonesia--1.jpeg
Kompetisi Pidato Aprotech Fair 2025,SMA / Sederajat,Rp 30.000,Offline,20 Jun - 25 Agu 2025,HIMASILKAN IPB,Pidato,https://infolomba.id/images/event/poster/kompetisi-pidato-aprotech-fair-2025-8.jpeg
Riau Batik Competition,"SMP / Sederajat, SMA / Sederajat, Gapyear, Mahasiswa, Umum",Gratis,Online,21 Apr - 31 Mei 2025,CD Dept PT RAPP,Desain,https://infolomba.id/images/event/poster/riau-batik-competition-7.jpeg
Trisakti Debating Summit,"SMA / Sederajat, Mahasiswa",Rp 450.000,Online,16 - 30 Nov 2025,Universitas Trisakti Debating Summit,Debat,https://infolomba.id/images/event/poster/trisakti-debating-summit-11.jpeg
Bendi Cup X 2025,"SD / Sederajat, SMP / Sederajat",Rp 75.000,Offline,25 Agu - 12 Sep 2025,SMP Muhammadiyah 8 Jakarta,"Olahraga, Agama, Seni",https://infolomba.id/images/event/poster/bendi-cup-x-2025-6.jpeg
BLUEFIC 2025 COMPETITION,Mahasiswa,Rp 50.000,Online,15 Sep - 25 Okt 2025,PSDKU Brawijaya University Kediri,Esai,https://infolomba.id/images/event/poster/bluefic-competition-1.jpeg
IMSCOBI 2025,Mahasiswa,Rp 180.000 - Rp 200.000,Online & Offline,29 Jun - 23 Agu 2025,LKI FK UB,"Desain, Karya Tulis Ilmiah, Agama",https://infolomba.id/images/event/poster/imscobi-2025-4.png
Try Out Akbar UTBK 2025 Gratis!!,SMA / Sederajat,Gratis,Online,24 Mar - 13 Apr 2025,Firman Fathul,Try Out,https://infolomba.id/images/event/poster/try-out-akbar-utbk-2025-gratis-31.jpeg
