Judul,Jenjang,Penyelenggara,Link Poster,Biaya_Rata_Rata,Tanggal_Mulai,Tanggal_Selesai,Domain_Akademik,Domain_Bisnis_Karir,Domain_Olahraga_E-Sport,Domain_Seni_Kreatif,Domain_Teknologi,Domain_Umum_Lainnya,Jenjang_Encoded,Is_Online,Is_Offline
Pi-Spektra,SD / Sederajat,SMP Daarut Tauhiid Boarding School Putri,https://infolomba.id/images/event/poster/pispektra-87.jpeg,0,2025-03-03,2025-03-16,1,0,0,1,0,1,1.0,1,0
Medical Veteran Project 2025,Mahasiswa,BEM FK UPN “Veteran” Jakarta,https://infolomba.id/images/event/poster/medical-veteran-project-2025-80.jpeg,80000,2025-08-17,2025-09-06,0,0,1,1,0,0,4.0,1,1
Mujahidin Excellent Fest 2026,SD / Sederajat,SMP Mujahidin Surabaya,https://infolomba.id/images/event/poster/mujahidin-excellent-fest-2026-61.jpeg,45000,2026-02-05,2026-02-22,1,0,0,0,0,1,1.0,0,1
Lomba Mural Tadjimalela,Umum,Mural Tadjimalela,https://infolomba.id/images/event/poster/lomba-mural-tadjimalela-81.jpeg,100000,2026-01-01,2026-01-25,0,0,0,1,0,1,5.0,0,1
Lomba Video Mengulas Buku!✨📚,Umum,Yayasan Gelora Insan Mandiri,https://infolomba.id/images/event/poster/lomba-video-mengulas-buku✨📚-43.jpeg,0,2025-08-11,2025-09-08,0,0,0,1,0,1,5.0,1,0
FusionTech Challenge 2025,SMA / Sederajat,Universitas Teknologi Yogyakarta,https://infolomba.id/images/event/poster/fusiontech-challenge-2025-89.png,15000,2025-02-12,2025-02-26,0,0,0,1,1,1,3.0,1,1
Olimpiade Manajemen UNAIR 2025,SMA / Sederajat,Manajemen UNAIR,https://infolomba.id/images/event/poster/olimpiade-manajemen-unair-2025-80.png,90000,2025-08-31,2025-09-10,1,0,0,0,0,0,3.0,1,1
Lomba MC Nasional,Umum,OSIS BASWARA Al Munawwir IIBS,https://infolomba.id/images/event/poster/lomba-mc-nasional-43.png,35000,2025-12-20,2026-01-20,0,0,0,1,0,0,5.0,1,0
ALKAFEST 2025,Umum,SMA Al-Azhar Kelapa Gading,https://infolomba.id/images/event/poster/alkafest-90.jpeg,75000,2025-06-12,2025-08-12,0,0,1,1,0,0,5.0,0,1
Pharmasteria 2025,SMA / Sederajat,Himafarsi Universitas Gunadarma,https://infolomba.id/images/event/poster/pharmasteria-2025-46.jpeg,35000,2025-04-26,2025-05-17,1,0,0,1,0,0,3.0,1,1
The 8th ISCOMBUS,Mahasiswa,Himpunan Mahasiswa Manajemen FEB UMY,https://infolomba.id/images/event/poster/the-8th-iscombus--90.jpeg,50000,2025-04-03,2025-04-30,1,1,0,0,0,0,4.0,1,0
"BHK Cup ""Valore""",SMP / Sederajat,SMA Bunda Hati Kudus Jakarta,https://infolomba.id/images/event/poster/bhk-cup-valore-13.png,200000,2025-05-19,2025-08-09,0,0,1,1,0,0,2.0,0,1
Call for Essay 2025,Mahasiswa,BSO Literatika FH UNESA,https://infolomba.id/images/event/poster/call-for-essay-76.png,0,2025-10-20,2025-12-20,1,0,0,0,0,0,4.0,1,0
HIMABI COMPETITIONS 2025,Mahasiswa,HIMABI Universitas Alma Ata,https://infolomba.id/images/event/poster/himabi-competitions-2025-78.jpeg,17500,2025-12-21,2026-01-01,0,0,0,1,0,0,4.0,1,0
Pekan Kimia,Mahasiswa,Himdika FKIP Untan,https://infolomba.id/images/event/poster/pekan-kimia-60.jpeg,45000,2024-11-26,2025-01-31,0,0,0,1,0,0,4.0,1,0
EUFOGHIA 2025,Umum,SMA Pesantren Unggul Al Bayan Anyer,https://infolomba.id/images/event/poster/eufoghia-2025-74.png,15000,2025-08-21,2025-09-15,0,0,1,1,0,0,5.0,1,1
Vacoos6th,SMA / Sederajat,MPK-OSIS SMA NEGERI 1 CERME,https://infolomba.id/images/event/poster/vacoos6th-62.jpeg,147500,2024-12-25,2025-02-08,0,0,0,1,0,0,3.0,1,1
Olimpiade Manajemen Universitas Airlangga 2025,SMA / Sederajat,Management UNAIR,https://infolomba.id/images/event/poster/olimpiade-manajemen-universitas-airlangga-2025-86.jpeg,90000,2025-08-23,2025-08-31,1,0,0,0,0,0,3.0,1,1
Writing Competition 2026: LKTI BEM Universi Lamongan,SMA / Sederajat,Bem Universitas Muhammadiyah Lamongan,https://infolomba.id/images/event/poster/writing-competition-2026-lomba-karya-tulis-ilmiah-lkti-bem-universitas-muhammadiyah-lamongan-45.jpeg,150000,2025-12-20,2026-01-20,1,0,0,0,0,0,3.0,1,0
Kelas Intensif SNBT 2025 by MauNgajarin,SMA / Sederajat,MauNgajarin,https://infolomba.id/images/event/poster/kelas-intensif-snbt-2025-by-maungajarin-28.png,32000,2024-12-31,2025-01-12,0,0,0,0,0,1,3.0,1,0
HelloCup Vol.7,SMP / Sederajat,HelloMotion High School,https://infolomba.id/images/event/poster/hellocup-vol7-78.jpeg,150000,2025-09-19,2025-10-05,0,0,1,1,0,0,2.0,1,1
Paud Fair 13 se-Indonesia,Mahasiswa,PAUD Fair 13 se-Indonesia,https://infolomba.id/images/event/poster/paud-fair-13-seindonesia--1.jpeg,45000,2025-01-05,2025-03-30,1,0,1,1,0,0,4.0,1,1
Kompetisi Pidato Aprotech Fair 2025,SMA / Sederajat,HIMASILKAN IPB,https://infolomba.id/images/event/poster/kompetisi-pidato-aprotech-fair-2025-8.jpeg,30000,2025-06-20,2025-08-25,1,0,0,0,0,0,3.0,0,1
Riau Batik Competition,Umum,CD Dept PT RAPP,https://infolomba.id/images/event/poster/riau-batik-competition-7.jpeg,0,2025-04-21,2025-05-31,0,0,0,1,0,0,5.0,1,0
Trisakti Debating Summit,SMA / Sederajat,Universitas Trisakti Debating Summit,https://infolomba.id/images/event/poster/trisakti-debating-summit-11.jpeg,450000,2025-11-16,2025-11-30,1,0,0,0,0,0,3.0,1,0
Bendi Cup X 2025,SD / Sederajat,SMP Muhammadiyah 8 Jakarta,https://infolomba.id/images/event/poster/bendi-cup-x-2025-6.jpeg,75000,2025-08-25,2025-09-12,0,0,1,1,0,1,1.0,0,1
BLUEFIC 2025 COMPETITION,Mahasiswa,PSDKU Brawijaya University Kediri,https://infolomba.id/images/event/poster/bluefic-competition-1.jpeg,50000,2025-09-15,2025-10-25,1,0,0,0,0,0,4.0,1,0
IMSCOBI 2025,Mahasiswa,LKI FK UB,https://infolomba.id/images/event/poster/imscobi-2025-4.png,190000,2025-06-29,2025-08-23,1,0,0,1,0,1,4.0,1,1
